CP5 CP6 TP7 TP8 P7 P8 PO9 PO10 PO3 PO4 PO7 PO8 O1 O2 Oz time
-3.731704 -3.885216 -4.354887 -1.162335 5.29076 8.379386 13.75001 16.21921 15.71545 22.07392 17.55367 18.97746 20.92813 25.05018 21.51514 56.11222
-4.068713 -3.881473 -4.623389 -0.9922876 6.022032 9.628258 15.36528 18.23501 16.78906 23.61157 19.26635 21.08881 22.73201 27.02007 22.68061 58.11623
-4.556475 -3.978493 -5.034897 -0.9715305 6.781635 10.98805 17.20621 20.64307 18.1243 25.57229 21.23052 23.41146 24.90339 29.51888 24.40551 60.12024
-5.18644 -4.260705 -5.522547 -0.9833139 7.500726 12.40771 19.24568 23.34891 19.71158 27.82296 23.43305 25.9467 27.50534 32.44445 26.83221 62.12425
-5.889953 -4.715159 -5.995128 -1.158843 8.216743 13.81394 21.57081 26.32094 21.66498 30.41832 25.87717 28.73534 30.65031 35.89544 30.15449 64.12826
-6.623504 -5.285762 -6.44207 -1.290757 9.03471 15.3174 24.34207 29.75676 23.99717 33.34344 28.62456 31.91543 34.46009 39.95915 34.43604 66.13226
-7.441 -5.952083 -6.953156 -1.482283 9.994142 16.98623 27.75978 33.81622 26.69573 36.67282 31.70559 35.54026 38.99073 44.71518 39.65806 68.13628
-8.385264 -6.765557 -7.503079 -1.718858 11.06303 18.72429 31.86286 38.41861 29.58513 40.3676 35.1171 39.50719 44.14998 50.10462 45.66518 70.14028
-9.386368 -7.698155 -7.979113 -2.127024 12.19397 20.52153 36.54237 43.52356 32.71344 44.2869 38.7484 43.78536 49.84914 55.96947 52.41917 72.14429
-10.36266 -8.839144 -8.336679 -2.589997 13.38235 22.26647 41.62165 48.91803 36.01606 48.37931 42.52439 48.18032 55.94374 62.12649 59.75766 74.1483
-11.32122 -10.16291 -8.698352 -3.08481 14.58556 24.02945 46.9484 54.67976 39.50483 52.46898 46.32209 52.75659 62.40329 68.47767 67.60611 76.15231
-12.33971 -11.59422 -9.204431 -3.641282 15.71769 25.79572 52.46074 60.80504 43.05025 56.57789 50.09188 57.4534 69.13154 74.97233 75.77343 78.15631
-13.40856 -13.041 -9.829613 -4.105492 16.80141 27.53197 58.12768 67.16287 46.67084 60.69557 53.90691 62.17922 76.05838 81.53766 84.10968 80.16032
-14.49707 -14.42728 -10.55069 -4.571151 17.84215 29.34198 63.88709 73.67242 50.3181 64.82214 57.73489 66.95885 83.08721 88.0703 92.49195 82.16433
-15.57275 -15.70601 -11.33165 -4.957922 18.95997 31.22949 69.73343 80.18888 54.01056 69.06416 61.60727 71.73322 90.12368 94.6329 100.8823 84.16833
-16.70398 -16.9427 -12.20046 -5.245872 20.10242 33.23212 75.57014 86.76311 57.59622 73.29752 65.39191 76.54154 97.03819 101.0917 109.1302 86.17235
-17.89661 -18.13127 -13.01444 -5.505306 21.25631 35.30653 81.47203 93.48138 61.12421 77.57566 69.11288 81.39497 103.7701 107.5273 117.1598 88.17635
-19.14734 -19.30148 -13.76186 -5.725517 22.37014 37.40699 87.37917 100.2627 64.51228 81.84139 72.75709 86.23223 110.3051 113.8832 124.8425 90.18036
-20.41147 -20.43198 -14.49854 -5.992467 23.43377 39.50198 93.20763 106.9646 67.7848 86.03438 76.35341 91.01597 116.6247 120.0934 132.1477 92.18437
-21.67651 -21.48437 -15.24269 -6.100553 24.50207 41.62724 98.95116 113.557 70.96713 90.18108 79.95263 95.78906 122.7133 126.1524 139.1628 94.18838
-22.98607 -22.46392 -16.02239 -6.135364 25.56906 43.77074 104.561 120.0132 74.00895 94.19125 83.51198 100.5062 128.5607 132.0268 145.8797 96.19238
-24.32148 -23.372 -16.82789 -6.142277 26.59427 45.81749 110.0067 126.1919 76.8436 98.1195 86.94472 104.9867 134.0162 137.6962 152.1202 98.1964
-25.61035 -24.18039 -17.63037 -6.067297 27.58876 47.85192 115.2255 132.2495 79.38185 101.8281 90.22238 109.3237 139.0042 142.9808 157.7507 100.2004
