PO3_amp PO7_amp PO9_amp O1_amp O2_amp Oz_amp PO4_amp PO8_amp PO10_amp ROI_GA_amp PO3_lat PO7_lat PO9_lat O1_lat O2_lat Oz_lat PO4_lat PO8_lat PO10_lat ROI_GA_lat emotion ID Trial
8.53872 -9.462703 -5.627401 -1.787457 -10.77912 6.025272 1.42097 -9.391255 1.831735 -2.136804 116.2325 108.2164 108.2164 108.2164 124.2485 108.2164 124.2485 124.2485 118.2365 115.5645 2 1 89
9.170054 4.743657 2.740988 5.161161 3.390411 0.8131381 12.42082 -1.29618 13.60706 5.639013 112.2244 108.2164 108.2164 108.2164 124.2485 112.2244 120.2405 124.2485 122.2445 115.5645 2 1 91
9.311809 -0.1590891 -0.5503764 3.561023 20.33139 22.69842 29.27035 14.3399 -4.68342 10.45778 124.2485 108.2164 122.2445 110.2204 116.2325 110.2204 124.2485 122.2445 124.2485 118.0138 2 1 95
22.95337 -6.97639 8.965474 -1.026804 9.347647 1.078396 24.52628 -2.035845 1.045294 6.430824 118.2365 112.2244 114.2285 108.2164 108.2164 108.2164 124.2485 108.2164 124.2485 114.0058 2 1 97
-29.67381 3.119139 -16.32737 -15.18658 -4.296748 -11.31967 -0.4793826 3.137009 -7.810386 -8.759756 124.2485 112.2244 114.2285 124.2485 124.2485 124.2485 124.2485 110.2204 108.2164 118.4591 2 1 100
9.748608 1.248988 13.99109 11.43481 9.454299 6.121017 6.664237 8.16304 -2.298474 7.169734 122.2445 108.2164 124.2485 124.2485 124.2485 124.2485 124.2485 124.2485 108.2164 120.4632 2 1 103
17.06361 -0.772084 7.495905 14.6833 10.52934 16.18138 21.98632 11.98444 8.312649 11.94054 124.2485 108.2164 114.2285 120.2405 108.2164 116.2325 124.2485 108.2164 108.2164 114.6738 2 1 108
1.685926 3.598365 7.836593 12.60875 2.816773 3.088426 3.120494 5.876366 7.892759 5.391606 124.2485 108.2164 124.2485 124.2485 124.2485 124.2485 108.2164 122.2445 118.2365 119.7951 2 1 110
-12.22527 -6.508814 -20.35507 -12.05066 1.911076 -0.298638 10.78053 8.786766 -4.394224 -3.817145 124.2485 108.2164 124.2485 124.2485 108.2164 108.2164 108.2164 108.2164 108.2164 113.5605 2 1 115
-14.78163 -0.9853739 -15.33375 -16.71113 -5.442358 -12.9805 -22.83076 -3.136186 -15.67885 -11.98672 108.2164 114.2285 108.2164 108.2164 118.2365 112.2244 110.2204 112.2244 108.2164 111.1111 2 1 116
40.14564 0.08830738 5.685524 10.33062 22.86452 28.50754 41.31171 16.54898 6.61427 19.1219 124.2485 108.2164 108.2164 124.2485 120.2405 108.2164 124.2485 108.2164 124.2485 116.6778 2 1 124
-3.570095 -11.25608 -8.506687 -11.16383 0.7754348 2.062278 -6.161191 -7.33659 -4.709978 -5.540749 108.2164 108.2164 108.2164 108.2164 116.2325 108.2164 116.2325 118.2365 108.2164 111.1111 2 1 127
11.2255 -5.865147 3.920225 -1.013161 -7.632291 -1.412689 -8.303953 -5.540224 -2.592083 -1.912646 116.2325 124.2485 124.2485 124.2485 108.2164 124.2485 108.2164 108.2164 108.2164 116.2325 2 1 129
-12.74228 4.136141 3.762738 8.400253 -45.59179 -35.02647 -42.52201 -34.10566 -8.804198 -18.05481 108.2164 120.2405 120.2405 112.2244 108.2164 124.2485 108.2164 112.2244 108.2164 113.5605 2 1 131
13.92342 -9.521168 9.989622 -0.6858152 -11.36461 -18.10401 -13.61598 -8.038715 -1.8474 -4.362739 120.2405 108.2164 108.2164 108.2164 110.2204 124.2485 124.2485 108.2164 110.2204 113.5605 2 1 136
10.40111 -14.44513 -6.214542 -13.99053 -21.66241 -16.12995 -13.44135 -20.77731 -25.89973 -13.57332 122.2445 124.2485 124.2485 124.2485 108.2164 124.2485 108.2164 108.2164 108.2164 116.9005 2 1 143
