PO3_amp PO7_amp PO9_amp O1_amp O2_amp Oz_amp PO4_amp PO8_amp PO10_amp ROI_GA_amp emotion ID Trial
20.15999 -21.51851 11.97407 10.06846 31.03303 -2.72588 42.14415 20.34395 41.27364 16.97254 4 1 24
12.7816 11.01441 -2.163912 30.04253 16.78638 44.61009 -4.213778 20.02736 -19.35172 12.17033 4 1 33
29.88312 5.110762 12.64818 22.17209 18.92474 35.87411 19.30827 14.67527 -2.708571 17.32088 4 1 42
35.45096 -0.8593207 10.08343 23.5076 27.83641 27.29899 43.17743 32.83335 7.977292 23.03401 4 1 46
43.97652 -1.964879 23.41334 25.79712 26.56341 22.55958 44.20795 15.76858 27.98143 25.367 4 1 56
9.100615 6.013551 -17.74451 -9.996302 16.76748 -0.5237879 26.85022 8.303806 4.89034 4.851268 4 1 63
41.32606 16.80624 24.49074 34.67387 46.34867 38.86265 43.89208 41.25139 16.76476 33.82405 4 1 78
30.01569 -1.637052 5.282063 23.10682 44.24936 18.39826 68.66451 33.92704 18.80611 26.75698 4 1 83
43.3697 -3.048205 10.2901 35.96777 9.584829 30.68328 12.40626 11.1198 1.140743 16.83492 4 1 88
37.32118 1.22677 18.31869 26.58299 25.35422 30.0092 51.86436 22.42267 4.058571 24.12874 4 1 99
23.22828 1.864561 11.16469 11.06822 -4.080142 16.28917 -8.565316 4.371459 1.766528 6.345272 4 1 106
28.26505 3.470335 36.22754 17.59579 6.997458 9.773347 11.35448 -1.063628 2.452652 12.78589 4 1 114
36.62717 -11.41941 8.285139 7.050993 19.18878 15.43314 32.73662 19.5231 -1.265647 14.01776 4 1 121
-10.67408 -1.877302 -10.41861 -3.31428 10.25693 3.603244 33.22366 13.57889 28.47251 6.98344 4 1 126
50.47351 -20.80227 17.13062 5.302779 21.06161 6.860075 46.81647 15.31306 12.18293 17.14875 4 1 133
1.62398 25.12961 14.12454 40.49083 7.899944 35.46628 -19.71737 18.08652 -8.555233 12.72768 4 1 140
18.134 -4.047021 -0.8826565 1.284402 17.12943 8.747891 22.33666 14.03163 9.866726 9.62234 4 1 145
29.02731 -19.76646 -0.3534027 -1.379117 12.58427 20.98268 43.0623 11.70659 7.857701 11.52465 4 1 156
43.71235 -2.531457 18.63423 34.64523 28.85503 36.2968 32.15046 17.71118 -0.7843007 23.18772 4 1 162
27.10539 5.091057 -11.63953 4.763109 17.65212 16.06145 22.48513 13.54519 -12.45402 9.178875 4 1 172
38.00901 12.59994 19.38194 31.29618 22.68596 44.07144 21.88614 10.47769 -14.09879 20.70106 4 1 178
51.65648 -1.737528 32.96828 31.60845 33.07471 35.1218 56.40149 26.31646 33.1717 33.17576 4 1 186
19.29441 -14.58769 0.1556089 1.795414 13.92828 -4.934329 46.53203 5.405396 11.88545 8.830508 4 1 195
-23.12904 -2.625309 -12.90455 -20.8749 -26.10039 -26.7753 -32.51459 -27.02746 -12.86916 -20.53563 4 1 204
39.74839 -9.598972 9.686213 42.68079 48.90832 20.36948 51.59774 5.635347 20.93272 25.55112 1 2 4
27.81411 2.033277 0.7735298 30.28984 61.41872 41.58683 62.88119 23.76455 38.72776 32.14331 1 2 6
32.88773 24.86696 19.87075 24.71403 78.53487 52.30826 80.13247 24.26408 31.46093 41.00445 1 2 11
51.30545 -0.9744093 7.171647 38.05077 49.83456 39.48517 53.73567 -10.08519 17.33522 27.31765 1 2 14
70.78078 17.00681 46.41468 50.69352 86.82729 63.15449 90.29353 13.75241 32.92831 52.42798 1 2 16
0.2529921 -24.64672 -2.732114 -3.331663 -4.279802 -25.84448 -3.056686 -11.27126 -18.35517 -10.36277 1 2 19
13.76155 6.71315 7.710801 6.457157 44.29722 11.85116 45.28914 10.05486 25.73407 19.09657 1 2 22
