P8_amp TP8_amp CP6_amp ROI_GA_amp P8_lat TP8_lat CP6_lat ROI_GA_lat emotion ID Trial hem
-6.490316 -15.5027 -7.649276 -9.880764 194.3888 194.3888 206.4128 198.3968 1 2 132 2
13.32419 -17.86515 -2.174973 -2.238647 190.3808 190.3808 190.3808 190.3808 1 2 137 2
14.57057 -17.16122 1.11089 -0.4932542 190.3808 190.3808 204.4088 195.0568 1 2 139 2
1.35185 24.14132 20.55981 15.351 206.4128 206.4128 206.4128 206.4128 1 2 145 2
-13.02768 -16.17217 -25.17822 -18.12602 190.3808 190.3808 190.3808 190.3808 1 2 146 2
40.5048 25.88087 6.636961 24.34088 190.3808 206.4128 206.4128 201.0688 1 2 151 2
55.65971 23.79025 41.08824 40.1794 206.4128 206.4128 206.4128 206.4128 1 2 153 2
12.58199 -20.43022 -5.134536 -4.327589 206.4128 206.4128 206.4128 206.4128 1 2 160 2
2.583687 -9.413963 2.593408 -1.41229 196.3928 194.3888 200.4008 197.0608 1 2 162 2
-39.57857 -1.139579 -7.025482 -15.91454 206.4128 206.4128 206.4128 206.4128 1 2 163 2
40.01961 2.924092 8.308901 17.0842 190.3808 206.4128 206.4128 201.0688 1 2 165 2
18.17023 -10.67021 -14.1893 -2.229764 190.3808 190.3808 190.3808 190.3808 1 2 167 2
-12.57498 4.982349 -8.379353 -5.323994 206.4128 192.3848 206.4128 201.7368 1 2 178 2
-20.90907 -17.69355 -4.66186 -14.42149 190.3808 198.3968 190.3808 193.0528 1 2 182 2
26.55882 21.63608 31.35557 26.51682 190.3808 206.4128 190.3808 195.7248 1 2 187 2
-40.04147 -16.94312 -29.60583 -28.86347 194.3888 198.3968 198.3968 197.0608 2 2 1 2
19.41906 -3.592352 0.9996355 5.60878 206.4128 206.4128 206.4128 206.4128 2 2 7 2
-27.61913 19.15899 -22.59187 -10.35067 196.3928 194.3888 192.3848 194.3888 2 2 9 2
-7.080039 -6.794289 6.039939 -2.611463 190.3808 190.3808 190.3808 190.3808 2 2 15 2
47.06497 20.29369 31.26548 32.87471 206.4128 200.4008 206.4128 204.4088 2 2 17 2
29.2434 39.12328 15.34818 27.90495 190.3808 190.3808 190.3808 190.3808 2 2 20 2
-7.48486 -7.890237 11.05638 -1.439571 204.4088 204.4088 204.4088 204.4088 2 2 23 2
-8.46103 6.424235 -0.2530237 -0.7632728 190.3808 190.3808 190.3808 190.3808 2 2 26 2
22.75349 8.585967 6.925657 12.75504 190.3808 206.4128 206.4128 201.0688 2 2 30 2
